allergen_id,token,token_type,canonical_name
6.0,durum wheat kernels,derived,
6.0,barley and wheat malt,derived,
6.0,semolina,ingredient,
6.0,gluten,ingredient,
6.0,wheat flour,ingredient,
6.0,durum,ingredient,
6.0,dark durum wheat flour,derived,
6.0,british wholegrain wheat,derived,
6.0,durum wheat semolina,derived,
6.0,rehydrated nuckwheat,derived,
6.0,wheat flour type 850 semi-white,derived,
6.0,wheat dextrose,derived,
6.0,textured wheat protein,derived,
6.0,fermented wheat starch,derived,
7.0,common cuttlefish,derived,
7.0,spineless cuttlefish,derived,
7.0,deepwater redfish,derived,
7.0,white fish fillets,derived,
7.0,fish gelatine,derived,
7.0,oarfish,derived,
7.0,spiny scorpionfish,derived,
7.0,fish stock,derived,
7.0,saltwater fish,derived,
7.0,shellfish,derived,
7.0,crayfish,derived,
7.0,spotted wolffish,derived,
7.0,fish meat,derived,
7.0,red swamp crayfish,derived,
7.0,cuttlefish,derived,
7.0,shellfish fond,derived,
7.0,anchovy,ingredient,
7.0,tuna,ingredient,
31.0,salmon,ingredient,
7.0,crayfish or shrimp,derived,
7.0,atlantic wolffish,derived,
7.0,raw anglerfish,derived,
7.0,garfish,derived,
7.0,scorpion fish,derived,
7.0,natural fish flavouring,derived,
7.0,fish,ingredient,
7.0,white fish,derived,
7.0,cod,ingredient,
7.0,freshwater fish,derived,
7.0,raw golden redfish,derived,
7.0,fish oil,derived,
7.0,steamed spiny scorpionfish,derived,
7.0,shellfish extract,derived,
7.0,fish protein,derived,
7.0,oily fish,derived,
7.0,raw spotted wolffish,derived,
7.0,pharaoh cuttlefish,derived,
7.0,swordfish,derived,
7.0,anglerfish,derived,
7.0,white fish meat,derived,
7.0,rockfish,derived,
7.0,fish sauce,derived,
8.0,lobster,ingredient,
20.0,crab,ingredient,
19.0,prawn,ingredient,
19.0,shrimp,ingredient,
9.0,sesame extract,ingredient,sesame
9.0,goma,ingredient,sesame
9.0,sesame seeds,derived,
9.0,sesame paste,derived,
9.0,toasted sesame oil,derived,
9.0,virgin sesame oil,derived,
9.0,refined sesame oil,derived,
9.0,husked sesame seed,derived,
9.0,toasted sesame,ingredient,sesame
9.0,sesame powder,ingredient,sesame
9.0,sesame salt,ingredient,sesame
9.0,sesame flour,ingredient,sesame
9.0,black sesame,derived,
9.0,sesame,ingredient,
9.0,tahini,ingredient,
9.0,sesame oil,ingredient,
9.0,husked and grilled sesame seed,derived,
9.0,white sesame seeds,derived,
9.0,white sesame,derived,
9.0,sesame seed bun,derived,
9.0,organic sesame oil,derived,
9.0,organic sesame seeds,derived,
10.0,brown mustard seed,derived,
10.0,black mustard seed,derived,
10.0,strong mustard,derived,
10.0,dijon mustard,derived,
10.0,mustard sauce,derived,
10.0,english mustard,derived,
10.0,mustard oil,derived,
10.0,yellow mustard seed,derived,
10.0,strong dijon mustard,derived,
10.0,prepacked mustard sauce,derived,
10.0,yellow and brown mustard seeds,derived,
10.0,brown mustard,derived,
10.0,mustard,ingredient,
10.0,mustard flavouring,derived,
10.0,mustard seed,ingredient,
11.0,celery seed,derived,
11.0,celery powder,derived,
11.0,celery puree,derived,
11.0,concentrated celery juice,derived,
11.0,celery stalk,derived,
11.0,celery leaves,derived,
11.0,powdered concentrated celery juice,derived,
11.0,celery juice,derived,
11.0,celery flavouring,derived,
11.0,celery salt,ingredient,
11.0,celery,ingredient,
12.0,lupin,ingredient,
12.0,yellow lupin,derived,
12.0,white lupin,derived,
12.0,lupin grit,derived,
12.0,blue lupin,derived,
12.0,lupin bean,derived,
12.0,lupin flour,ingredient,
13.0,sulphite,ingredient,
13.0,sulfite,ingredient,
13.0,sulfur dioxide,ingredient,
17.0,roasted buckwheat kasha,derived,
17.0,buckwheat honey,derived,
17.0,soba flour,ingredient,buckwheat
17.0,soba,ingredient,buckwheat
17.0,puffed buckwheat,derived,
17.0,buckwheat grain,derived,
17.0,buckwheat groats,ingredient,buckwheat
17.0,buckwheat germ,ingredient,buckwheat
17.0,buckwheat noodles,ingredient,buckwheat
17.0,buckwheat,derived,
17.0,buckwheat husk,derived,
17.0,extruded buckwheat flour,derived,
17.0,buckwheat grit,derived,
17.0,buckwheat starch,ingredient,buckwheat
17.0,buckwheat flour,derived,
17.0,whole grain buckwheat flour,derived,
17.0,whole buckwheat flakes,derived,
17.0,sprouted buckwheat,derived,
17.0,wholemeal buckwheat,derived,
17.0,buckwheat flakes,derived,
19.0,shrimp extract,ingredient,shrimp
19.0,shrimp crackers,ingredient,shrimp
19.0,prawn powder,ingredient,shrimp
19.0,dried shrimp,ingredient,shrimp
19.0,shrimp paste,ingredient,shrimp
19.0,shrimp powder,ingredient,shrimp
19.0,ebi,ingredient,shrimp
20.0,crab powder,ingredient,crab
20.0,king crab,ingredient,crab
20.0,snow crab,ingredient,crab
20.0,crab extract,ingredient,crab
20.0,crab flavour,ingredient,crab
20.0,crab paste,ingredient,crab
20.0,kani,ingredient,crab
20.0,crab meat,ingredient,crab
21.0,abalone,,abalone
22.0,almond extract,ingredient,almond
22.0,almond flour,ingredient,almond
22.0,almond paste,ingredient,almond
22.0,blanched almonds,ingredient,almond
22.0,almond oil,ingredient,almond
22.0,raw almonds,ingredient,almond
22.0,almonds,ingredient,almond
22.0,almond powder,ingredient,almond
22.0,almond milk,ingredient,almond
22.0,almond protein,ingredient,almond
22.0,almond butter,ingredient,almond
23.0,dried squid,ingredient,squid
23.0,squid ink,ingredient,squid
23.0,squid extract,ingredient,squid
23.0,squid,,squid
23.0,squid powder,ingredient,squid
23.0,ika,ingredient,squid
23.0,calamari,ingredient,squid
24.0,ikura,ingredient,salmon roe
24.0,salmon caviar,ingredient,salmon roe
24.0,salmon roe,,salmon roe
24.0,fish roe (salmon),ingredient,salmon roe
24.0,salted salmon roe,ingredient,salmon roe
25.0,orange extract,ingredient,orange
25.0,dried orange,ingredient,orange
25.0,orange peel,ingredient,orange
25.0,orange zest,ingredient,orange
25.0,orange,,orange
25.0,orange juice,ingredient,orange
26.0,cashew nuts,ingredient,cashew nut
26.0,cashew butter,ingredient,cashew nut
26.0,cashew oil,ingredient,cashew nut
26.0,cashew paste,ingredient,cashew nut
26.0,cashew nut,,cashew nut
27.0,kiwi,,kiwi
27.0,kiwi juice,ingredient,kiwi
27.0,kiwifruit,ingredient,kiwi
27.0,dried kiwi,ingredient,kiwi
27.0,kiwi extract,ingredient,kiwi
28.0,ground beef,ingredient,beef
28.0,beef stock,ingredient,beef
28.0,beef,,beef
28.0,wagyu,ingredient,beef
28.0,beef fat,ingredient,beef
28.0,beef powder,ingredient,beef
28.0,beef jerky,ingredient,beef
28.0,beef tallow,ingredient,beef
28.0,dried beef,ingredient,beef
28.0,bovine,ingredient,beef
28.0,beef extract,ingredient,beef
29.0,walnut paste,ingredient,walnut
29.0,walnut pieces,ingredient,walnut
29.0,walnuts,ingredient,walnut
29.0,crushed walnuts,ingredient,walnut
29.0,walnut oil,ingredient,walnut
29.0,kurumi,ingredient,walnut
31.0,sockeye salmon,ingredient,salmon
31.0,pink salmon,ingredient,salmon
31.0,atlantic salmon,ingredient,salmon
31.0,salmon flakes,ingredient,salmon
31.0,salmon powder,ingredient,salmon
31.0,dried salmon,ingredient,salmon
31.0,salmon extract,ingredient,salmon
31.0,smoked salmon,ingredient,salmon
31.0,salmon fillet,ingredient,salmon
32.0,smoked mackerel,ingredient,mackerel
32.0,saba,ingredient,mackerel
32.0,mackerel flakes,ingredient,mackerel
32.0,mackerel fillet,ingredient,mackerel
32.0,dried mackerel,ingredient,mackerel
32.0,mackerel extract,ingredient,mackerel
32.0,mackerel,,mackerel
32.0,mackerel powder,ingredient,mackerel
34.0,dried chicken,ingredient,chicken
