allergen_id,token,token_type,canonical_name
39.0,mountain yam,ingredient,yam
39.0,yam extract,ingredient,yam
39.0,japanese yam,ingredient,yam
39.0,yam,,yam
40.0,dried apple,ingredient,apple
40.0,applesauce,ingredient,apple
40.0,apple vinegar,ingredient,apple
40.0,apple extract,ingredient,apple
40.0,apple powder,ingredient,apple
40.0,apple cider,ingredient,apple
40.0,apple puree,ingredient,apple
40.0,apple,,apple
40.0,apple juice,ingredient,apple
41.0,pork gelatin,ingredient,gelatin
41.0,collagen,ingredient,gelatin
41.0,gelatine,ingredient,gelatin
41.0,fish gelatin,ingredient,gelatin
41.0,beef gelatin,ingredient,gelatin
41.0,gelatin,,gelatin
42.0,macadamia oil,ingredient,macadamia nut
42.0,macadamia,ingredient,macadamia nut
42.0,macadamia butter,ingredient,macadamia nut
42.0,macadamia paste,ingredient,macadamia nut
42.0,macadamia nuts,ingredient,macadamia nut
42.0,macadamia nut,ingredient,macadamia nut
,matsutake mushroom,,matsutake mushroom
